id;date;title;link;label;label_score;cluster_id;matched_tags;source;snippet;content_clean
e903678c4f6676144706343b7c562ef49105c8d4278b5085c80a322c6a28bb62;2025-10-27 13:02:35;A Fidesznél is kiakadtak Nagy Feró kijelentése miatt, bocsánatkérést követelnek a rocksztártól;https://www.atv.hu/belfold/20251027/fidesz-nagy-fero-bocsanatkeres/;kormánypárti;0.38;5;;https://www.atv.hu/rss;Több Fidesz-közeli személy is reagált Nagy Feró kijelentésére, amit a Szőlő utcai botrány kapcsán tett egy interjú során. Vitályos Eszter és Bayer Zsolt sem hagyta szó nélkül az énekes mondatait.;Több Fidesz-közeli személy is reagált Nagy Feró kijelentésére, amit a Szőlő utcai botrány kapcsán tett egy interjú során. Vitályos Eszter és Bayer Zsolt sem hagyta szó nélkül az énekes mondatait.
004be4508f7746226844d09eaf3ad5e16a0c5227814db6d0611f22bd61d6cad8;2025-10-27 13:02:35;Menczer Tamás élő adásban árulta el a Fidesz tervét, Magyar Péternek is üzent;https://www.atv.hu/belfold/20251027/menczer-tamas-magyar-peter-bekemenet/;kormánypárti;0.317;2;;https://www.atv.hu/rss;Menczer Tamás a Harcosok órájában beszélt a Békemenetről, üzent Magyar Péternek, majd Orbán Viktor édesanyja is szóba került.;Menczer Tamás a Harcosok órájában beszélt a Békemenetről, üzent Magyar Péternek, majd Orbán Viktor édesanyja is szóba került.
484907d9cfee8429ef9e0a13a220b611c3c1c515e76cb2b247cb04f3b5c5362e;2025-10-27 13:02:35;Dobrev Klára nyílt levelet küldött a pápának a Szőlő utcai ügyben;https://www.atv.hu/belfold/20251027/dobrev-klara-papa-orban-viktor-gyermek/;kormánypárti;0.324;2;;https://www.atv.hu/rss;XIV. Leó pápa hétfőn fogadja Orbán Viktor miniszterelnököt. Ennek okán Dobrev Klára, a DK elnöke nyílt levelet írt a Szentatyának.;XIV. Leó pápa hétfőn fogadja Orbán Viktor miniszterelnököt. Ennek okán Dobrev Klára, a DK elnöke nyílt levelet írt a Szentatyának.
b34e37f631919bb807fcdd125ef1dd3e866f34979edb96264b3620ed83a0328f;2025-10-27 13:02:35;Rómából üzent Orbán Viktor: Ma beszámolok a Szentatyának, majd Olaszország miniszterelnökének;https://www.atv.hu/belfold/20251027/orban-viktor-roma-papa-olasz/;kormánypárti;0.319;2;;https://www.atv.hu/rss;Orbán Viktor hétfőn találkozik XIV. Leó pápával és az olasz miniszterelnökkel.;Orbán Viktor hétfőn találkozik XIV. Leó pápával és az olasz miniszterelnökkel.
61d5232a911d0da16caf779428d803ea67f5a1e270cb667bf689fb4815eeab59;2025-10-27 13:02:35;Fogadta XIV. Leó pápa Orbán Viktort;https://nepszava.hu/3299346_xiv-leo-papa-orban-viktor-vatikan-semjen-zsolt-giorgia-meloni-olaszorszag;kormánypárti;0.367;2;;https://nepszava.hu/rss;A miniszterelnök a Szentatyától támogatást kért megfogalmazása szerint háborúellenes politikájához.;A miniszterelnök a Szentatyától támogatást kért megfogalmazása szerint háborúellenes politikájához.
fc7f0a67366bcbe95385002f90db1ff10c9856272792d73d619874d8b5c2a3be;2025-10-27 13:02:35;Dobrev Klára nyílt levelet írt XIV. Leó pápának a Budapesti Javítóintézet körüli botrány ügyében;https://nepszava.hu/3299340_xiv-leo-papa-dobrev-klara-budapesti-javitointezet-szolo-utcai-javitointezet-level-botrany;kormánypárti;0.402;2;;https://nepszava.hu/rss;A DK elnöke arra kéri a katolikus egyházfőt, hasson a Vatikánba utazó Orbán Viktor miniszterelnökre a bűncselekmények teljes és átlátható feltárásáért, és hogy ne fordulhasson elő többé a gyermekek megalázása, kihasználása.;A DK elnöke arra kéri a katolikus egyházfőt, hasson a Vatikánba utazó Orbán Viktor miniszterelnökre a bűncselekmények teljes és átlátható feltárásáért, és hogy ne fordulhasson elő többé a gyermekek megalázása, kihasználása.
3c8e2adf69c78c7e9db1e8c06fe15d5cfde2422a777686b4876501cda7f1a750;2025-10-27 13:02:35;Mielőtt halálra röhögnénk magunkat a fideszes digitális harcosokon;https://magyarnarancs.hu/publicisztika/mielott-halalra-rohognenk-magunkat-a-fideszes-digitalis-harcosokon-277720;ellenzéki;0.428;3;re:\bkampány\b;https://magyarnarancs.hu/rss;<p>Nagyon nehéz megfejteni a fideszes kampány működését, de van néhány elem, amelyek alapján arra lehet következtetni, hogy van muníció a tarsolyban. És ez egyáltalán nem megnyugtató.</p>;<p>Nagyon nehéz megfejteni a fideszes kampány működését, de van néhány elem, amelyek alapján arra lehet következtetni, hogy van muníció a tarsolyban. És ez egyáltalán nem megnyugtató.</p>
b9ccc662d32653d2dbe9c7ca98248a93555e62dd61c79fc5412c7650719ce9ca;2025-10-27 13:02:35;Magyar Péter-Orbán Viktor: 2:0;https://magyarnarancs.hu/publicisztika/magyar-peter-orban-viktor-20-277722;kormánypárti;0.393;2;;https://magyarnarancs.hu/rss;<p>Állítólag kétszer annyian voltak az Andrássy úti Nemzeti Meneten, mint a Kossuth térre érkező Békemeneten, ám legalább ennyire fontos, hogy mit mondtak a vezérszónokok. Magyar Péter miszlikbe vágta Orbán Viktort egyebek mellett azzal, hogy saját szavait hozta fel ellene. Aztán megjött a Ryanair.</p>;<p>Állítólag kétszer annyian voltak az Andrássy úti Nemzeti Meneten, mint a Kossuth térre érkező Békemeneten, ám legalább ennyire fontos, hogy mit mondtak a vezérszónokok. Magyar Péter miszlikbe vágta Orbán Viktort egyebek mellett azzal, hogy saját szavait hozta fel ellene. Aztán megjött a Ryanair.</p>
1c90833eec1fbc5dc3323fd568552b2b6b7ef84847fda4adb359a7ad9a45d6b4;2025-10-27 13:02:35;„A Péter azt mondta: ne féljetek. Én már nem félek” – tiszás aktivisták között Püspökladányban és Hajdúszoboszlón;https://magyarnarancs.hu/kismagyarorszag/a-peter-azt-mondta-ne-feljetek-en-mar-nem-felek-tiszas-aktivistak-kozott-puspokladanyban-es-hajduszoboszlon-277698;kormánypárti;0.555;0;;https://magyarnarancs.hu/rss;<p>Buzizás és újságosztás a piacon, nyomor a fürdőváros szélén. Hajdú-Bihar megyét elérte a változás szele, sokan kárhoztatják a Fideszt. Megnéztük a választókörzetet, ahol azt beszélik, Ruszin-Szendi Romulusz indulhat a Tisza jelöltjeként. </p>;<p>Buzizás és újságosztás a piacon, nyomor a fürdőváros szélén. Hajdú-Bihar megyét elérte a változás szele, sokan kárhoztatják a Fideszt. Megnéztük a választókörzetet, ahol azt beszélik, Ruszin-Szendi Romulusz indulhat a Tisza jelöltjeként. </p>
13d6ae11c8e2f54b45f36883cebc9ff6fec745bd10422cdb308934df333b60ba;2025-10-27 13:02:35;Vadászok, kergetők, árulók;https://magyarnarancs.hu/belpol/vadaszok-kergetok-arulok-277682;kormánypárti;0.519;0;;https://magyarnarancs.hu/rss;<p>Nyíltan támogatja a Magyar Önvédelmi Mozgalom a Mi Hazánk céljait – kérdés, hogy a Fideszt is kiszolgálják-e. Az utóbbi időben sokan léptek be a szervezetbe. Egyes tagok úgy vélik, hogy a mozgalomra túl nagy hatást gyakorolnak a pártok.</p>;<p>Nyíltan támogatja a Magyar Önvédelmi Mozgalom a Mi Hazánk céljait – kérdés, hogy a Fideszt is kiszolgálják-e. Az utóbbi időben sokan léptek be a szervezetbe. Egyes tagok úgy vélik, hogy a mozgalomra túl nagy hatást gyakorolnak a pártok.</p>
